FBgn0000083	1.172	1.287	1.06	0.94	0.702	0.852	0.037	0.071	0.099	-0.003
FBgn0000109	-0.096	0.165	0.397	0.297	0.024	-0.005	-0.027	-0.006	-0.079	-0.063
FBgn0000276	3.36	3.371	3.378	3.247	3.137	2.815	0.263	0.198	0.405	0.075
FBgn0000277	4.141	4.547	4.583	3.888	3.565	3.154	0.278	0.332	0.527	0.237
FBgn0000279	5.69	6.041	4.379	2.733	2.649	2.376	0.093	0.038	0.301	0.175
FBgn0003162	1.71	2.386	2.339	1.592	1.118	1.061	-0.355	0.193	-0.146	-0.314
FBgn0004240	3.591	4.233	4.574	4.538	4.463	4.267	0.669	0.384	0.967	0.017
FBgn0004556	0.086	0.361	0.718	0.367	0.242	0.209	-0.042	0.033	0.092	0.084
FBgn0010222	0.583	0.674	1.774	0.867	0.476	0.251	0.203	0.206	-0.166	-0.114
FBgn0010388	2.729	3.604	3.799	3.855	3.892	3.812	0.507	0.109	0.869	0.902
FBgn0011296	0.264	0.389	0.531	0.535	0.125	0.105	0.14	-0.17	-0.404	-0.598
FBgn0013305	1.245	1.291	1.409	0.996	0.633	1.155	0.291	0.382	-0.055	0.156
FBgn0014141	0.406	0.49	0.291	0.172	0.251	0.415	0.01	0.043	-0.022	-0.109
FBgn0015221	0.518	0.565	0.653	0.532	0.58	0.453	0.056	0.215	0.053	0.09
FBgn0015222	0.435	0.472	0.609	0.427	0.415	0.46	-0.068	0.131	-0.013	0.083
FBgn0020414	0.856	1.108	1.317	0.852	0.694	0.799	-0.142	0.224	0.164	0.099
FBgn0022073	1.121	0.964	1.115	0.776	0.48	0.462	-0.465	0.011	-0.015	-0.091
FBgn0023129	1.054	1.033	1.298	1.069	0.946	0.858	-0.028	0.405	0.272	0.252
FBgn0029853	0.208	0.328	0.483	0.518	0.284	0.241	-0.017	0.025	0.048	0.032
FBgn0030310	2.558	2.698	2.385	2.086	1.726	2.068	0.005	0.19	0.273	0.67
FBgn0030925	0.867	1.119	1.277	1.075	0.976	0.676	0.107	0.099	0.204	0.103
FBgn0031485	-0.019	0.242	0.401	0.16	0.015	0.091	0.078	0.131	0.086	-0.063
FBgn0032002	0.467	0.538	0.55	0.454	0.364	0.265	0.21	-0.042	0.016	-0.013
FBgn0034364	1.503	1.254	1.272	1.201	0.895	0.939	-0.043	-0.051	0.158	0.135
FBgn0034407	3.36	3.48	3.521	3.522	3.516	3.472	0.272	0.095	0.46	0.634
FBgn0034434	0.384	0.552	0.5	0.233	0.172	0.025	0.024	0.07	-0.032	0.045
FBgn0035165	0.48	0.569	0.512	0.308	0.04	0.943	-0.292	0.024	-0.145	-0.245
FBgn0035452	0.177	0.536	0.238	0.255	0.145	0.159	-0.028	0.069	-0.007	0.048
FBgn0035964	0.523	0.952	0.927	0.561	0.343	0.204	0.121	0.134	0.073	0.289
FBgn0036662	0.227	0.666	0.698	0.467	0.188	0.371	-0.011	0.366	-0.018	0.031
FBgn0036974	0.266	0.349	0.658	0.477	0.06	0.471	-0.12	0.302	-0.104	-0.077
FBgn0037632	0.404	0.221	0.485	0.318	0.185	0.259	0.032	0.047	0.159	0.038
FBgn0037718	0.214	0.91	0.487	0.442	0.157	0.585	0.051	0.304	0.135	0.102
FBgn0037906	1.36	1.586	1.449	1.193	0.967	1.054	0.002	-0.061	-0.076	-0.322
FBgn0038530	1.902	3.985	4.537	2.914	2.635	2.595	0.097	-0.043	0.532	0.126
FBgn0038610	0.203	0.325	0.492	0.304	0.168	0.2	0	-0.055	-0.034	-0.009
FBgn0038957	0.461	0.637	0.737	0.382	0.052	-0.063	-0.103	0.202	0.021	0.198
FBgn0039543	0.779	0.434	0.665	0.597	0.498	0.771	-0.109	0.375	-0.017	-0.035
FBgn0039580	0.177	0.431	0.397	0.067	0.135	0.076	-0.022	0.067	0.084	0.088
FBgn0039714	0.349	0.487	0.613	0.427	0.324	0.324	-0.181	0.261	0.129	-0.047
FBgn0039869	0.698	0.644	0.462	0.477	0.254	0.504	-0.077	-0.133	-0.05	-0.168
